id,area,roles,what_it_does,web_location,backing_routes,classification,mobile_treatment,phase,dependencies,risk,store_policy_note
PG-098,Auth,venue,Venue account creation,website/src/app/(pages)/signup/venue/page.tsx,POST /api/register-venue,Rebuilt specifically for mobile,"Native form plus POST /api/register-venue, same self-heal on first verified login.",P1,POST /api/register-venue,Med,-
PG-099,Marketplace,"artist,customer",Venue demand tracker with paywalled identity and an inline placement request form,website/src/app/(pages)/spaces/page.tsx,GET /api/venues/demand; GET /api/outreach/allowance; POST /api/placements,Reused with modification,Native list with the same server-side redaction (redactDemandVenue) and the outreach allowance badge above the list. The inline request form becomes a sheet.,P2,GET /api/venues/demand; GET /api/outreach/allowance; POST /api/placements,Med,"The paywalled identity is an entitlement read, not a purchase, so no store rule applies to showing it."
PG-100,Public marketing,all,Sustainability statement,website/src/app/(pages)/sustainability/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-101,Legal,all,Terms of service,website/src/app/(pages)/terms/page.tsx,TERMS_VERSION,Reused with modification,Rendered in-app from the same source as the web page (WebView on the legal route) so the acceptance checkbox at signup links to the exact text recorded in terms_acceptances.,P1,TERMS_VERSION,Med,Apple 5.1.1 and Play both require the terms and privacy links to work from inside the app.
PG-102,Legal,venue,Venue agreement,website/src/app/(pages)/venue-agreement/page.tsx,TERMS_VERSION,Reused with modification,"In-app legal route, linked from venue signup and Settings > Legal.",P1,TERMS_VERSION,Med,-
PG-103,Venue portal,venue,Venue dashboard,website/src/app/(pages)/venue-portal/page.tsx,GET /api/dashboard,Improved or redesigned for the app,"Venue Home tab: an action feed (placement requests to answer, offers, walls with nothing on them, QR scans this week).",P1,GET /api/dashboard,Med,-
PG-104,Venue portal,venue,QR scan analytics,website/src/app/(pages)/venue-portal/analytics/page.tsx,GET /api/analytics/venue,Reused with modification,Native charts.,P3,GET /api/analytics/venue,Low,-
PG-105,Venue portal,venue,Brief list,website/src/app/(pages)/venue-portal/artwork-requests/page.tsx,GET /api/artwork-requests,Reused with modification,Native list.,P3,GET /api/artwork-requests,Low,-
PG-106,Venue portal,venue,"Brief detail, responses, accept and fulfil",website/src/app/(pages)/venue-portal/artwork-requests/[id]/page.tsx,GET /api/artwork-requests/[id]; POST /[id]/fulfill; PATCH /[id]/responses/[responseId],Reused with modification,Native detail with response cards and an accept sheet that creates the placement.,P3,GET /api/artwork-requests/[id]; POST /[id]/fulfill; PATCH /[id]/responses/[responseId],Med,-
PG-107,Venue portal,venue,Edit a brief,website/src/app/(pages)/venue-portal/artwork-requests/[id]/edit/page.tsx,PATCH /api/artwork-requests/[id],Reused with modification,Native edit form.,P3,PATCH /api/artwork-requests/[id],Low,-
PG-108,Venue portal,venue,Create a brief,website/src/app/(pages)/venue-portal/artwork-requests/new/page.tsx,POST /api/artwork-requests,Reused with modification,Native multi-step form.,P3,POST /api/artwork-requests,Low,-
PG-109,Venue portal,venue,Venue QR label sheets,website/src/app/(pages)/venue-portal/labels/page.tsx,NEW POST /api/labels/pdf,Rebuilt specifically for mobile,"Same native label composer as the artist side, scoped to the venue's placements.",P2,NEW POST /api/labels/pdf,Med,-
PG-110,Venue portal,venue,Venue message inbox,website/src/app/(pages)/venue-portal/messages/page.tsx,GET/POST /api/messages,Rebuilt specifically for mobile,"Same native inbox as the artist side, one component, role-parameterised.",P1,GET/POST /api/messages,HIGH,Apple 1.2 UGC.
PG-111,Venue portal,venue,"Offers made, counter, accept, pay",website/src/app/(pages)/venue-portal/offers/page.tsx,GET/PATCH /api/offers; POST /api/offers/[id]/checkout,Reused with modification,Native list; the pay step opens Stripe Checkout in an in-app browser and returns by universal link on /venue-portal/offers?pay=.,P2,GET/PATCH /api/offers; POST /api/offers/[id]/checkout,Med,Physical goods: never in-app purchase.
PG-112,Venue portal,venue,Orders attributed to this venue,website/src/app/(pages)/venue-portal/orders/page.tsx,GET /api/orders,Reused with modification,Native list.,P2,GET /api/orders,Low,-
PG-113,Venue portal,venue,"Request, respond, counter, stepper, buy-off-the-wall offers",website/src/app/(pages)/venue-portal/placements/page.tsx,GET/POST/PATCH /api/placements,Rebuilt specifically for mobile,"Native list opening the shared placement detail. The 2,139-line web page splits into list plus detail plus sheets.",P1,GET/POST/PATCH /api/placements,HIGH,-
PG-114,Venue portal,venue,"Venue profile: gallery images, display needs, contact",website/src/app/(pages)/venue-portal/profile/page.tsx,GET/PATCH /api/venue-profile,Reused with modification,Native form with camera-first gallery upload.,P2,GET/PATCH /api/venue-profile,Med,-
PG-115,Venue portal,venue,Saved artists and works,website/src/app/(pages)/venue-portal/saved/page.tsx,GET /api/saved,Reused with modification,Native list.,P2,GET /api/saved,Low,-
PG-116,Venue portal,venue,"Contact details, outreach preference, payouts",website/src/app/(pages)/venue-portal/settings/page.tsx,PATCH /api/venue-profile; POST /api/stripe-connect/onboard,Reused with modification,Native Settings. accepts_artist_outreach currently writes through supabase.auth.updateUser from the client; on mobile it must move to a server route (WP-C-OUTREACH).,P2,PATCH /api/venue-profile; POST /api/stripe-connect/onboard,Med,-
PG-117,Venue portal,venue,Wall list,website/src/app/(pages)/venue-portal/walls/page.tsx,GET /api/walls,Reused with modification,Native list with a photo thumbnail per wall.,P2,GET /api/walls,Med,-
PG-118,Venue portal,venue,"Full-bleed wall editor, public toggle",website/src/app/(pages)/venue-portal/walls/[id]/page.tsx,GET/PATCH /api/walls/[id]; /layouts,Reused with modification,"Embedded WebView editor with a native top bar and a native public toggle, for the same reason as the showroom editor.",P3,GET/PATCH /api/walls/[id]; /layouts,Med,-
PG-119,Venue portal,venue,Create a wall from a preset or a photo,website/src/app/(pages)/venue-portal/walls/new/page.tsx,POST /api/walls; POST /api/walls/upload-photo,Improved or redesigned for the app,"Native create flow with camera capture and, from P4, ARKit and ARCore plane detection to measure the wall instead of typing centimetres. This is the clearest native win in the product.",P2,POST /api/walls; POST /api/walls/upload-photo,Med,"4.2.1: ARKit must be a real experience, not a model dropped into a view. Measuring a wall qualifies."
PG-120,Public marketing,all,For-venues marketing page,website/src/app/(pages)/venues/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-121,Marketplace,all,Venue public profile with public walls and open briefs,website/src/app/(pages)/venues/[slug]/page.tsx,GET /api/venues/[slug]; GET /api/venues/[slug]/walls/[wallId],Reused with modification,Native venue screen. Artists reach it from Spaces and from a placement. Public walls list feeds the wall-proposal flow.,P2,GET /api/venues/[slug]; GET /api/venues/[slug]/walls/[wallId],Med,-
PG-122,Auth,all,OAuth callback exchanging the signed state token,website/src/app/auth/callback/page.tsx,POST /api/auth/oauth-sign-state; POST /api/auth/oauth-finalize,Reused with modification,Replaced by a native ASWebAuthenticationSession and Custom Tabs flow returning to the app scheme. The HMAC state token and POST /api/auth/oauth-finalize are unchanged; only the redirect target moves.,P2,POST /api/auth/oauth-sign-state; POST /api/auth/oauth-finalize,HIGH,Apple 4.8 pairs with this.
PG-123,Dev,dev,Email template preview index,website/src/app/email-preview/page.tsx,,Intentionally excluded,"Web only, developer surface.",Web only,-,Low,-
PG-124,Dev,dev,Single email preview,website/src/app/email-preview/[id]/page.tsx,,Intentionally excluded,"Web only, developer surface.",Web only,-,Low,-
PG-125,Public marketing,all,Waitlist route,website/src/app/waitlist/page.tsx,,Intentionally excluded,Web only.,Web only,-,Low,-
RT-001,API route,server,DELETE / auth: bearer,website/src/app/api/account/route.ts,app/(pages)/account/email/page.tsx; app/(pages)/account/email/unsubscribe/ConfirmUnsubscribe.tsx; app/(pages)/account/export/page.tsx; components/AccountDangerZone.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,159 lines,Low,-
RT-002,API route,server,POST / auth: bearer / side effects: email|stripe|site-url,website/src/app/api/account/delete/route.ts,components/AccountDangerZone.tsx,Kept entirely in the shared backend,Called from the native Security screen with the same typed confirmation.,P2,376 lines,HIGH,Apple 5.1.1(v) in-app deletion; Play requires in-app plus a web link.
RT-003,API route,server,GET|PATCH / auth: bearer,website/src/app/api/account/email-preferences/route.ts,app/(pages)/account/email/page.tsx,Kept entirely in the shared backend,Consumed as-is by the unified Notifications screen.,P2,100 lines,Med,-
RT-004,API route,server,GET|POST / auth: PUBLIC-ALLOWLIST / rate limited,website/src/app/api/account/email/unsubscribe/route.ts,app/(pages)/account/email/unsubscribe/ConfirmUnsubscribe.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,172 lines,Low,-
RT-005,API route,server,GET / auth: bearer / rate limited / side effects: email|site-url,website/src/app/api/account/export/route.ts,app/(pages)/account/export/page.tsx,Kept entirely in the shared backend,Response handed to the share sheet.,P3,189 lines,Low,-
RT-006,API route,server,GET|PATCH / auth: bearer,website/src/app/api/account/preferences/route.ts,,Kept entirely in the shared backend,The three in-app notification toggles. The push mapping in appendix C reads them.,P2,208 lines,Med,-
RT-007,API route,server,GET / auth: bearer,website/src/app/api/account/roles/route.ts,components/Header.tsx; components/PortalGuard.tsx; components/VenuePortalLayout.tsx,Kept entirely in the shared backend,The authority for account switching. ownRoles (profiles this auth user owns) drives which role tabs exist; roles (all accounts on this email) drives the switcher. user_metadata.user_type is navigation only.,P1,78 lines,HIGH,-
RT-008,API route,server,GET / auth: admin,website/src/app/api/admin/applications/route.ts,app/(pages)/admin/applications/page.tsx; app/(pages)/admin/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,31 lines,Low,-
RT-009,API route,server,PUT / auth: admin / side effects: email|site-url,website/src/app/api/admin/applications/[id]/route.ts,app/(pages)/admin/applications/page.tsx; app/(pages)/admin/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,408 lines,Low,-
RT-010,API route,server,GET|PATCH / auth: admin / zod: patchSchema / side effects: email|site-url,website/src/app/api/admin/artists/route.ts,app/(pages)/admin/artists/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,358 lines,Low,-
RT-011,API route,server,GET|PATCH / auth: admin / zod: patchSchema / side effects: email|site-url,website/src/app/api/admin/blogs/[id]/route.ts,app/(pages)/admin/blogs/page.tsx; app/(pages)/admin/moderation/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,258 lines,Low,-
RT-012,API route,server,GET|PATCH / auth: admin / zod: patchSchema,website/src/app/api/admin/curation/route.ts,app/(pages)/admin/curation/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,63 lines,Low,-
RT-013,API route,server,POST / auth: admin / zod: quoteSchema / side effects: email|site-url,website/src/app/api/admin/curation/quote/route.ts,,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,214 lines,Low,-
RT-014,API route,server,POST / auth: admin / zod: bodySchema / side effects: email|stripe|site-url,website/src/app/api/admin/curation/refund/route.ts,app/(pages)/admin/curation/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,228 lines,Low,-
RT-015,API route,server,GET / auth: admin,website/src/app/api/admin/disputes/route.ts,app/(pages)/admin/disputes/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,50 lines,Low,-
RT-016,API route,server,PATCH / auth: admin / zod: patchSchema / side effects: email|site-url,website/src/app/api/admin/disputes/[id]/route.ts,app/(pages)/admin/disputes/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,204 lines,Low,-
RT-017,API route,server,GET / auth: admin,website/src/app/api/admin/financials/route.ts,app/(pages)/admin/financials/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,182 lines,Low,-
RT-018,API route,server,GET|PATCH / auth: admin / zod: decideSchema,website/src/app/api/admin/moderation/route.ts,app/(pages)/admin/blogs/page.tsx; app/(pages)/admin/feature-requests/page.tsx; app/(pages)/admin/feedback/page.tsx; app/(pages)/admin/moderation/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,171 lines,Low,-
RT-019,API route,server,DELETE|POST / auth: admin / zod: linkSchema,website/src/app/api/admin/placements/[id]/link-programme/route.ts,,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,153 lines,Low,-
RT-020,API route,server,GET / auth: admin,website/src/app/api/admin/stats/route.ts,app/(pages)/admin/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,113 lines,Low,-
RT-021,API route,server,GET|PATCH / auth: admin / zod: patchSchema,website/src/app/api/admin/venues/route.ts,app/(pages)/admin/venues/page.tsx,Intentionally excluded,Admin stays on the web (see the /admin page rows). The route is unchanged and the app never calls it.,Web only,165 lines,Low,-
RT-022,API route,server,GET / auth: admin,website/src/app/api/admin/whoami/route.ts,components/AdminGate.tsx; components/AdminPortalLayout.tsx,Intentionally excluded,No admin surface ships in the app.,Web only,28 lines,Low,-
RT-023,API route,server,GET / auth: bearer,website/src/app/api/analytics/artist/route.ts,app/(pages)/artist-portal/analytics/page.tsx,Kept entirely in the shared backend,Consumed as-is.,P3,231 lines,Low,-
RT-024,API route,server,POST / auth: PUBLIC-ALLOWLIST / rate limited / side effects: analytics,website/src/app/api/analytics/track/route.ts,app/(pages)/browse/[slug]/ArtistProfileClient.tsx,Reused with modification,"ALLOWED_EVENTS is limited to venue_viewed_artist, artwork_view and profile_view. profile_view and artwork_view are recorded server-side on web page render, which does not happen in an app, so the app must post them explicitly and the visitor id must be derived from a rotating install identifier rather than hashed IP and user agent (WP-C-ANALYTICS).",P2,59 lines,Med,"Apple ATT is not triggered: the identifier is first-party, not shared with a data broker and not used for cross-app tracking."
RT-025,API route,server,GET / auth: bearer,website/src/app/api/analytics/venue/route.ts,app/(pages)/venue-portal/analytics/page.tsx; app/(pages)/venue-portal/page.tsx,Kept entirely in the shared backend,Consumed as-is.,P3,165 lines,Low,-
RT-026,API route,server,POST / auth: bearer|PUBLIC-ALLOWLIST / rate limited / zod: applySchema / side effects: email|site-url,website/src/app/api/apply/route.ts,components/ApplicationForm.tsx,Kept entirely in the shared backend,Consumed by the native application form; applySchema is the contract.,P2,303 lines,Med,-
RT-027,API route,server,GET|POST|PUT / auth: bearer,website/src/app/api/artist-profile/route.ts,app/(pages)/apply/claim/page.tsx; app/(pages)/artist-portal/billing/page.tsx; app/(pages)/artist-portal/labels/page.tsx; app/(pages)/artist-portal/profile/page.tsx,Kept entirely in the shared backend,"Already supports a profile-only mode that skips the works payload, which is what the mobile Profile screen wants.",P1,228 lines,Med,-
RT-028,API route,server,DELETE|GET|POST / auth: bearer / zod: artistWorkInputSchema,website/src/app/api/artist-works/route.ts,app/(pages)/spaces/page.tsx; components/BlogEditor.tsx; components/InStoreOfferCard.tsx; components/portfolio/WorksEditor.tsx,Reused with modification,Add cursor paging for the Works list; the works cap (WORKS_CAP) and claim_artist_work_slot stay server-side.,P2,332 lines,Med,-
RT-029,API route,server,POST / auth: bearer|PUBLIC-ALLOWLIST,website/src/app/api/artist-works/[id]/feature/route.ts,app/(pages)/spaces/page.tsx; components/BlogEditor.tsx; components/InStoreOfferCard.tsx; components/portfolio/WorksEditor.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,69 lines,Low,-
RT-030,API route,server,GET|POST / auth: bearer / zod: createSchema / side effects: email|site-url,website/src/app/api/artwork-requests/route.ts,components/ArtworkRequestsList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,399 lines,Low,-
RT-031,API route,server,GET|PATCH / auth: bearer / authz: assertCanViewArtworkRequest / zod: patchSchema,website/src/app/api/artwork-requests/[id]/route.ts,components/ArtworkRequestsList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,138 lines,Low,-
RT-032,API route,server,POST / auth: bearer / zod: fulfillSchema,website/src/app/api/artwork-requests/[id]/fulfill/route.ts,components/ArtworkRequestsList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,272 lines,Low,-
RT-033,API route,server,GET|POST / auth: bearer / authz: assertCanViewArtworkRequest / zod: createSchema / side effects: email|bell|site-url,website/src/app/api/artwork-requests/[id]/responses/route.ts,components/ArtworkRequestsList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,396 lines,Low,-
RT-034,API route,server,PATCH / auth: bearer / zod: patchSchema / side effects: email|bell|site-url,website/src/app/api/artwork-requests/[id]/responses/[responseId]/route.ts,components/ArtworkRequestsList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,577 lines,Low,-
RT-035,API route,server,GET / auth: bearer,website/src/app/api/artwork-requests/public/route.ts,components/ArtworkRequestsList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,117 lines,Low,-
RT-036,API route,server,POST / auth: PUBLIC,website/src/app/api/auth/oauth-finalize/route.ts,app/auth/callback/page.tsx,Reused with modification,Unchanged contract. Called after the native ASWebAuthenticationSession returns.,P2,187 lines,HIGH,Apple 4.8 pairs Sign in with Apple with Google sign-in.
RT-037,API route,server,POST / auth: PUBLIC,website/src/app/api/auth/oauth-sign-state/route.ts,app/(pages)/login/page.tsx; app/(pages)/signup/artist/page.tsx; app/(pages)/signup/customer/page.tsx,Reused with modification,Unchanged contract; the next path in the signed state becomes an app route rather than a web path.,P2,32 lines,Med,-
RT-038,API route,server,POST / auth: PUBLIC / rate limited,website/src/app/api/auth/precheck/route.ts,app/(pages)/forgot-password/page.tsx; app/(pages)/login/page.tsx,Kept entirely in the shared backend,Consumed as-is by the native signup form.,P1,26 lines,Low,-
RT-039,API route,server,POST / auth: PUBLIC / rate limited / side effects: site-url,website/src/app/api/auth/resend-verification/route.ts,app/(pages)/login/page.tsx; components/PortalGuard.tsx,Kept entirely in the shared backend,Consumed as-is by the unconfirmed-email state.,P1,87 lines,Low,-
RT-040,API route,server,POST / auth: PUBLIC,website/src/app/api/auth/verify-turnstile/route.ts,app/(pages)/signup/artist/page.tsx; app/(pages)/signup/customer/page.tsx; app/(pages)/signup/venue/page.tsx,Intentionally excluded,"Turnstile is a browser widget and its secret is not set in production anyway. The app calls POST /api/auth/attest instead (App Attest and Play Integrity), a new route that fails closed the same way.",P1,95 lines,Med,-
RT-041,API route,server,POST / auth: PUBLIC,website/src/app/api/auth/welcome/route.ts,context/AuthContext.tsx,Kept entirely in the shared backend,"Fired once per user per install, guarded the same way the web guards it with welcomedRef.",P1,42 lines,Med,-
RT-042,API route,server,GET|POST / auth: bearer / zod: createSchema,website/src/app/api/blogs/route.ts,app/(pages)/artist-portal/blogs/[id]/edit/page.tsx; app/(pages)/artist-portal/blogs/page.tsx; components/BlogEditor.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,162 lines,Low,-
RT-043,API route,server,DELETE|GET|PATCH / auth: bearer / zod: patchSchema,website/src/app/api/blogs/[id]/route.ts,app/(pages)/artist-portal/blogs/[id]/edit/page.tsx; app/(pages)/artist-portal/blogs/page.tsx; components/BlogEditor.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,259 lines,Low,-
RT-044,API route,server,GET / auth: bearer,website/src/app/api/blogs/mine/route.ts,app/(pages)/artist-portal/blogs/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,28 lines,Low,-
RT-045,API route,server,GET / auth: PUBLIC / rate limited,website/src/app/api/browse-artists/route.ts,app/(pages)/artist-portal/saved/page.tsx; app/(pages)/browse/page.tsx; app/(pages)/checkout/page.tsx; app/(pages)/customer-portal/saved/page.tsx,Reused with modification,"Measured on production 2026-09-06: 191,044 bytes, 41 artists, 260 embedded works, 263ms, and the browse page requests it twice per load. The app must not use it. Add GET /api/browse/feed with server-side filtering, sorting, distance and cursor paging returning card-shaped rows only (WP-N-BROWSE); the web page can migrate to it later.",P1,26 lines,HIGH,-
RT-046,API route,server,GET / auth: PUBLIC,website/src/app/api/browse-collections/route.ts,app/(pages)/browse/page.tsx,Reused with modification,Same paging treatment as the artist feed.,P2,77 lines,Med,-
RT-047,API route,server,POST / auth: bearer / zod: checkoutSchema / side effects: stripe|site-url,website/src/app/api/checkout/route.ts,app/(pages)/checkout/confirmation/page.tsx; app/(pages)/checkout/page.tsx,Reused with modification,"Add a PaymentIntent mode alongside the existing Checkout Session mode (WP-N-PAYSHEET). Everything else stays: server re-pricing, cart_sessions as the data of record keyed by the PaymentIntent id, QR attribution verification, venue share, fee, stock decrement, guest email, order tracking token. The webhook's fulfilment logic is NOT duplicated: it moves from checkout.session.completed to a shared handler that both that event and payment_intent.succeeded call.",P2,910 lines,HIGH,Apple 3.1.3(e) mandates a non-IAP method for physical goods and names Apple Pay explicitly.
RT-048,API route,server,GET / auth: PUBLIC / side effects: stripe,website/src/app/api/checkout/session/route.ts,app/(pages)/checkout/confirmation/page.tsx,Reused with modification,The confirmation screen reads it as-is; a PaymentIntent lookup variant is needed for the native path.,P2,46 lines,Med,-
RT-049,API route,server,DELETE|GET|PATCH|POST / auth: bearer,website/src/app/api/collections/route.ts,app/(pages)/artist-portal/collections/page.tsx; app/(pages)/browse/collections/[collectionId]/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,398 lines,Low,-
RT-050,API route,server,GET / auth: PUBLIC,website/src/app/api/collections/[id]/route.ts,app/(pages)/artist-portal/collections/page.tsx; app/(pages)/browse/collections/[collectionId]/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,176 lines,Low,-
RT-051,API route,server,POST / auth: PUBLIC-ALLOWLIST / rate limited / zod: contactSchema / side effects: email|site-url,website/src/app/api/contact/route.ts,components/ContactForm.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,121 lines,Low,-
RT-052,API route,server,POST / auth: bearer / zod: bodySchema,website/src/app/api/contracts/sign/route.ts,app/(pages)/placements/[id]/PlacementLoanForm.tsx,Kept entirely in the shared backend,Exchanges a contract reference for a 10-minute signed URL. The app opens the result in a document viewer and must never cache the signed URL.,P3,97 lines,Med,-
RT-053,API route,server,GET / auth: cron / side effects: email|site-url,website/src/app/api/cron/inactive-users/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,432 lines,Low,-
RT-054,API route,server,GET / auth: cron / side effects: email|site-url,website/src/app/api/cron/onboarding-nudges/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,362 lines,Low,-
RT-055,API route,server,GET / auth: cron / side effects: site-url,website/src/app/api/cron/order-delivery-followup/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,242 lines,Low,-
RT-056,API route,server,GET / auth: cron / side effects: email|bell|site-url,website/src/app/api/cron/placement-ending-soon/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,204 lines,Low,-
RT-057,API route,server,GET / auth: cron / side effects: email|site-url,website/src/app/api/cron/placement-review-request/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,79 lines,Low,-
RT-058,API route,server,GET / auth: cron,website/src/app/api/cron/programme-rent-settlement/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,46 lines,Low,-
RT-059,API route,server,GET / auth: cron / side effects: email|bell|site-url,website/src/app/api/cron/qr-scan-digest/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,229 lines,Low,-
RT-060,API route,server,GET / auth: cron / side effects: email|bell|site-url,website/src/app/api/cron/referral-window/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,100 lines,Low,-
RT-061,API route,server,GET / auth: cron / side effects: stripe,website/src/app/api/cron/subscription-reconcile/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,218 lines,Low,-
RT-062,API route,server,GET / auth: cron / side effects: email|site-url,website/src/app/api/cron/weekly-artist-digest/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,193 lines,Low,-
RT-063,API route,server,GET / auth: cron / side effects: email|site-url,website/src/app/api/cron/weekly-venue-digest/route.ts,,Kept entirely in the shared backend,"Server-side scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so.",P2,151 lines,Low,-
RT-064,API route,server,POST / auth: PUBLIC-ALLOWLIST / zod: curationSchema / side effects: email|stripe|site-url,website/src/app/api/curation/route.ts,app/(pages)/curated/CuratedClient.tsx; app/(pages)/programmes/ProgrammesClient.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,319 lines,Low,-
RT-065,API route,server,GET|POST / auth: PUBLIC-ALLOWLIST / rate limited / side effects: stripe|REDIRECT-HTML|site-url,website/src/app/api/curation/[id]/checkout/route.ts,app/(pages)/curated/CuratedClient.tsx; app/(pages)/programmes/ProgrammesClient.tsx,Intentionally excluded,Web-shaped: a GET that 302s to Stripe. The app never calls it; the quoted programme payment link arrives by email and opens on the web.,Web only,189 lines,Med,Keeping a quoted physical-service payment out of the app removes an argument at review.
RT-066,API route,server,GET|POST / auth: bearer / zod: customerAddressInputSchema,website/src/app/api/customer-addresses/route.ts,app/(pages)/checkout/page.tsx; app/(pages)/customer-portal/addresses/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,97 lines,Low,-
RT-067,API route,server,DELETE|PATCH / auth: bearer / zod: customerAddressUpdateSchema,website/src/app/api/customer-addresses/[id]/route.ts,app/(pages)/checkout/page.tsx; app/(pages)/customer-portal/addresses/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,140 lines,Low,-
RT-068,API route,server,GET / auth: bearer,website/src/app/api/dashboard/route.ts,app/(pages)/artist-portal/page.tsx; app/(pages)/venue-portal/page.tsx,Reused with modification,"Already a batched read, which is the right shape for mobile. Add the action-item counts the Home tab needs so the tab bar badge does not cost a second request.",P1,148 lines,Med,-
RT-069,API route,server,"GET|POST / auth: bearer / rate limited / authz: assertOrderParty,assertPlacementParty / side effects: email|site-url",website/src/app/api/disputes/route.ts,app/(pages)/customer-portal/page.tsx; app/(pages)/orders/[id]/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,213 lines,Low,-
